Date;Time;No.;PAR;F1;F2;F3;Fm'1;Fm'2;Fm'3;Y(II)1;Y(II)2;Y(II)3;
17.12.23;14:49:43;1;0;0.0396;0.0738;0.1271;0.0596;0.1090;0.2644;0.336;0.323;0.519;
17.12.23;15:04:35;2;0;0.0733;0.0792;0.0963;0.1593;0.1794;0.2239;0.540;0.559;0.570;
